Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Status,is_Dropout,Dropout_Prediction,Probability,RiskLevel,Course_title
1,1,1,9670,1,1,139.0000,1,38,19,5,7,130.6000,True,False,False,True,0,False,18,False,0,6,6,6,12.3333,0,0,6,7,5,14.2000,0,13.9000,-0.3000,0.7900,Graduate,False,False,0.0660,Low,Advertising and Marketing Management
1,1,1,9500,1,1,136.0000,1,19,38,9,9,119.3000,True,False,False,True,0,True,18,False,0,8,8,7,13.2143,0,0,8,8,7,13.2143,0,12.7000,3.7000,-1.7000,Graduate,False,False,0.0148,Low,Nursing
1,1,2,9853,1,1,133.0000,1,19,37,4,9,130.2000,True,False,False,True,0,False,19,False,0,6,6,0,0.0000,0,0,6,0,0,0.0000,0,12.7000,3.7000,-1.7000,Dropout,True,True,0.9849,High,Basic Education
1,53,1,9254,1,42,110.0000,1,1,1,4,7,111.8000,True,False,False,True,0,True,21,False,0,6,7,6,10.5714,0,0,6,8,5,11.0000,0,8.9000,1.4000,3.5100,Graduate,False,False,0.0677,Low,Tourism
1,1,1,9085,1,1,149.0000,1,38,37,5,5,137.1000,True,False,False,True,0,True,18,False,0,5,7,4,13.2500,0,0,5,5,5,12.0000,0,10.8000,1.4000,1.7400,Graduate,False,False,0.0248,Low,Veterinary Nursing
1,1,1,9773,1,1,127.0000,1,19,37,9,3,120.7000,True,False,False,True,0,False,20,False,0,6,6,5,13.2000,0,0,6,7,0,0.0000,0,15.5000,2.8000,-4.0600,Dropout,True,True,0.8786,Medium,Journalism and Communication
1,18,1,9238,1,1,137.0000,1,19,38,5,8,137.4000,True,False,False,True,0,False,18,False,0,6,10,1,12.0000,0,0,6,14,2,11.0000,0,10.8000,1.4000,1.7400,Enrolled,False,True,0.5323,Medium,Social Service
1,17,2,9500,1,1,135.0000,1,19,1,5,4,127.3000,True,False,False,True,0,False,18,False,0,7,8,7,13.3063,0,0,8,8,8,14.5450,0,15.5000,2.8000,-4.0600,Graduate,False,False,0.0506,Low,Nursing
1,1,1,9130,1,1,137.0000,1,3,19,3,5,136.3000,True,False,False,True,0,False,20,False,0,5,8,4,12.5000,1,0,5,8,4,12.2500,2,10.8000,1.4000,1.7400,Graduate,False,False,0.1108,Low,Equinculture:
1,1,1,9853,1,1,140.0000,1,19,19,7,7,124.6000,True,False,False,True,0,False,18,False,0,7,7,6,11.6667,0,0,7,8,6,13.5000,0,16.2000,0.3000,-0.9200,Enrolled,False,False,0.0770,Low,Basic Education
1,1,3,171,1,1,122.0000,1,1,1,9,8,120.3000,False,False,False,True,0,True,21,False,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,11.1000,0.6000,2.0200,Graduate,False,False,0.3030,Medium,Animation and Multimedia Design
1,18,4,9556,1,1,127.0000,1,1,38,4,7,121.8000,True,False,False,True,0,False,20,False,0,7,14,7,11.4375,0,0,8,9,8,11.4250,0,12.7000,3.7000,-1.7000,Enrolled,False,False,0.0761,Low,Oral Hygiene
1,1,4,9500,1,1,142.0000,1,19,19,1,1,125.5000,True,False,False,True,0,False,18,False,0,8,12,7,12.8571,0,0,8,12,7,12.8571,0,12.7000,3.7000,-1.7000,Graduate,False,False,0.0776,Low,Nursing
1,1,4,9670,1,1,125.0000,1,1,38,4,7,114.9000,True,False,False,True,0,True,19,False,0,6,8,6,13.3750,0,0,6,7,6,12.2857,0,11.1000,0.6000,2.0200,Graduate,False,False,0.0353,Low,Advertising and Marketing Management
1,1,1,9500,1,1,126.0000,1,19,19,3,7,123.9000,False,False,False,True,0,False,19,False,0,7,8,6,13.2967,0,0,8,9,7,14.1143,0,11.1000,0.6000,2.0200,Graduate,False,False,0.0444,Low,Nursing
1,1,1,9238,1,1,151.0000,1,19,38,9,9,157.0000,True,False,True,True,0,True,18,False,0,6,8,5,11.6000,0,0,6,12,4,11.0000,0,7.6000,2.6000,0.3200,Enrolled,False,False,0.1419,Low,Social Service
1,17,2,9238,1,1,115.0000,1,19,38,7,8,116.4000,True,False,False,True,0,False,21,False,0,6,9,6,11.3750,0,0,6,9,6,13.2857,0,16.2000,0.3000,-0.9200,Graduate,False,False,0.0439,Low,Social Service
1,1,1,9085,1,1,138.0000,1,19,19,3,3,131.0000,True,False,False,True,0,False,18,False,0,5,9,5,12.6667,2,0,5,7,4,13.0000,0,9.4000,-0.8000,-3.1200,Enrolled,False,False,0.0636,Low,Veterinary Nursing
1,1,1,9147,1,1,135.0000,1,19,1,9,9,122.1000,True,False,False,True,0,False,20,False,0,5,6,5,12.0000,0,0,5,6,5,12.3333,0,16.2000,0.3000,-0.9200,Graduate,False,False,0.0460,Low,Management
1,17,2,9500,1,1,127.0000,1,3,3,1,10,118.8000,True,False,False,True,1,False,19,False,0,7,9,6,12.9333,0,0,7,7,6,13.7167,0,16.2000,0.3000,-0.9200,Enrolled,False,False,0.0753,Low,Nursing
1,44,1,9003,1,39,150.0000,1,4,5,4,2,150.0000,False,False,False,True,1,False,21,False,0,6,15,5,11.8571,0,0,6,17,5,10.5714,0,16.2000,0.3000,-0.9200,Enrolled,False,False,0.0746,Low,Agronomy
1,51,1,9070,1,1,125.0000,1,42,3,125,124,130.0000,True,False,False,True,1,False,20,False,2,6,7,6,12.8333,0,0,6,9,4,13.4000,0,8.9000,1.4000,3.5100,Graduate,False,False,0.0178,Low,Communication Design
1,1,1,9147,1,1,143.0000,1,1,1,4,6,138.8000,False,False,False,False,1,False,18,False,0,5,9,3,11.3333,0,0,5,8,2,13.5000,0,8.9000,1.4000,3.5100,Enrolled,False,False,0.4806,Medium,Management
1,18,1,8014,0,1,138.0000,1,19,1,9,5,134.5000,True,False,False,True,0,False,19,False,0,6,6,6,12.6667,0,0,6,8,6,14.3750,0,12.4000,0.5000,1.7900,Graduate,False,False,0.0241,Low,Social Service (evening attendance)
1,1,1,9991,0,1,130.0000,1,2,37,3,9,131.4000,False,False,False,True,1,False,34,False,0,5,6,5,12.4000,0,0,5,9,5,13.4286,0,13.9000,-0.3000,0.7900,Graduate,False,False,0.1292,Low,Management (evening attendance)
1,39,1,33,1,1,130.0000,1,38,37,9,6,102.5000,False,False,True,False,1,False,37,False,0,7,7,0,0.0000,0,0,7,7,1,10.0000,0,8.9000,1.4000,3.5100,Dropout,True,True,0.9630,High,Biofuel Production Technologies
1,39,1,9119,1,10,133.1000,1,34,37,0,0,128.8000,True,False,False,True,1,False,43,False,0,5,0,0,0.0000,0,0,5,0,0,0.0000,0,7.6000,2.6000,0.3200,Dropout,True,True,0.9903,High,Informatics Engineering
1,43,1,9147,1,1,140.0000,1,37,37,6,6,122.9000,False,False,False,True,0,False,55,False,0,5,10,1,10.0000,0,0,5,8,2,12.0000,2,16.2000,0.3000,-0.9200,Dropout,True,True,0.6602,Medium,Management
4,39,1,9991,0,1,120.0000,1,19,19,9,3,113.9000,True,False,False,True,0,False,39,False,0,5,8,5,11.0000,0,0,5,5,5,11.6000,0,7.6000,2.6000,0.3200,Graduate,False,False,0.1234,Low,Management (evening attendance)
1,44,1,9130,1,39,120.0000,6,4,4,3,6,120.0000,False,False,True,False,0,False,20,True,2,6,13,3,11.6667,0,1,6,11,3,12.0000,0,12.4000,0.5000,1.7900,Dropout,True,True,0.8834,Medium,Equinculture:
1,1,5,9773,1,1,126.0000,1,3,3,2,2,121.1000,False,False,True,True,0,False,18,False,0,6,6,4,12.7500,0,0,5,5,0,0.0000,0,12.7000,3.7000,-1.7000,Dropout,True,True,0.9555,High,Journalism and Communication
1,1,2,9147,1,1,133.0000,1,3,19,2,7,120.4000,True,False,False,True,0,False,22,False,0,5,5,5,14.8000,0,0,5,5,5,15.8000,0,8.9000,1.4000,3.5100,Graduate,False,False,0.0417,Low,Management
1,1,6,9500,1,1,103.0000,1,1,3,2,2,100.6000,True,True,False,True,0,False,22,False,0,7,9,5,13.9280,0,0,8,9,7,14.3429,0,11.1000,0.6000,2.0200,Graduate,False,False,0.0151,Low,Nursing
1,17,1,9773,1,1,120.0000,1,1,38,5,5,121.4000,False,False,False,False,0,False,20,False,0,6,7,4,13.0000,0,0,6,7,5,13.8000,0,12.4000,0.5000,1.7900,Dropout,True,True,0.6596,Medium,Journalism and Communication
1,39,1,9991,0,1,133.1000,1,37,37,9,9,109.7000,False,False,False,True,0,False,29,False,0,5,0,0,0.0000,0,0,5,0,0,0.0000,0,16.2000,0.3000,-0.9200,Dropout,True,True,0.9799,High,Management (evening attendance)
1,17,1,9991,0,1,154.0000,1,38,38,4,5,134.1000,False,False,False,True,0,False,24,False,0,5,9,2,11.5000,0,0,5,11,3,14.3333,1,7.6000,2.6000,0.3200,Enrolled,False,False,0.1644,Low,Management (evening attendance)
1,17,2,9238,1,1,130.0000,1,19,19,9,9,127.6000,True,False,False,True,0,False,18,False,0,6,6,6,11.6667,0,0,6,8,5,13.2000,0,11.1000,0.6000,2.0200,Graduate,False,False,0.1375,Low,Social Service
1,17,6,9500,1,1,132.0000,1,37,19,7,7,132.4000,True,False,False,True,0,True,22,False,0,7,8,6,13.5167,0,0,8,9,7,13.7714,0,11.1000,0.6000,2.0200,Graduate,False,False,0.0857,Low,Nursing
1,44,1,8014,0,39,130.0000,1,1,19,9,9,133.4000,False,False,False,True,0,True,21,False,3,6,6,6,11.5000,0,2,6,7,6,13.2857,0,12.4000,0.5000,1.7900,Graduate,False,False,0.0313,Low,Social Service (evening attendance)
1,1,1,9238,1,1,139.0000,1,37,38,9,9,126.1000,False,False,False,True,0,True,19,False,0,6,7,5,12.3333,0,0,6,7,6,12.8333,0,12.7000,3.7000,-1.7000,Graduate,False,False,0.0218,Low,Social Service
1,39,1,9254,1,1,130.0000,1,19,38,9,7,113.5000,False,False,False,True,0,True,24,False,0,6,6,6,13.6667,0,0,6,6,6,14.1667,0,12.4000,0.5000,1.7900,Graduate,False,False,0.0199,Low,Tourism
1,1,1,9500,1,1,139.0000,1,37,38,6,6,121.3000,True,False,False,True,0,True,19,False,0,8,10,6,11.8333,0,0,8,10,6,11.8333,0,9.4000,-0.8000,-3.1200,Enrolled,False,False,0.0105,Low,Nursing
1,1,1,9773,1,1,127.0000,1,1,19,7,7,121.8000,True,False,False,True,0,True,20,False,0,6,11,4,14.0000,0,0,6,12,3,11.0000,0,9.4000,-0.8000,-3.1200,Enrolled,False,False,0.2438,Medium,Journalism and Communication
1,1,3,9130,1,1,167.0000,1,37,37,90,90,159.3000,False,False,False,True,0,False,19,False,0,5,7,5,14.7143,0,0,5,5,5,15.8000,0,7.6000,2.6000,0.3200,Graduate,False,False,0.0838,Low,Equinculture:
1,39,1,9991,0,1,130.0000,1,38,38,9,9,120.0000,False,False,False,True,0,False,27,False,0,5,12,5,10.6000,0,0,5,10,5,11.0000,0,9.4000,-0.8000,-3.1200,Dropout,True,False,0.2330,Medium,Management (evening attendance)
1,1,1,9500,1,1,130.0000,1,1,19,5,5,129.1000,True,False,False,True,0,False,18,False,0,7,9,7,13.0444,0,0,8,10,8,13.5950,0,15.5000,2.8000,-4.0600,Graduate,False,False,0.0531,Low,Nursing
2,7,1,9254,1,3,130.0000,1,1,3,4,3,130.0000,False,False,False,True,0,False,39,False,0,6,10,0,0.0000,0,0,6,6,0,0.0000,0,12.4000,0.5000,1.7900,Dropout,True,True,0.9646,High,Tourism
1,39,1,9130,1,40,129.0000,1,3,3,2,2,155.3000,True,False,False,True,0,False,27,False,0,6,9,5,13.0000,0,5,11,13,10,12.9000,0,12.4000,0.5000,1.7900,Dropout,True,True,0.5058,Medium,Equinculture:
1,17,1,9500,1,1,141.0000,1,38,38,7,10,139.8000,True,False,False,True,0,False,18,False,0,8,8,8,14.9350,0,0,8,8,8,14.9350,0,9.4000,-0.8000,-3.1200,Graduate,False,False,0.0166,Low,Nursing
1,1,3,171,1,1,125.0000,1,38,37,4,9,115.2000,True,False,False,True,0,False,18,False,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,7.6000,2.6000,0.3200,Enrolled,False,False,0.3601,Medium,Animation and Multimedia Design
1,1,2,9500,1,1,125.0000,1,19,19,9,9,114.9000,False,False,False,True,0,False,18,False,0,7,8,6,13.1333,0,0,8,12,7,12.2214,0,16.2000,0.3000,-0.9200,Graduate,False,False,0.0428,Low,Nursing
1,44,1,9238,1,39,130.0000,1,19,1,9,9,131.9000,False,False,False,True,0,True,21,False,3,6,7,6,12.0000,0,2,6,7,6,12.0000,0,13.9000,-0.3000,0.7900,Graduate,False,False,0.0418,Low,Social Service
1,17,3,171,1,1,133.0000,1,1,37,4,7,126.0000,True,False,False,True,1,True,19,False,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,10.8000,1.4000,1.7400,Enrolled,False,False,0.3903,Medium,Animation and Multimedia Design
1,17,1,9070,1,1,127.0000,1,1,1,3,4,130.2000,True,False,False,True,1,False,19,False,0,6,6,5,11.4000,0,0,6,8,1,10.0000,0,10.8000,1.4000,1.7400,Enrolled,False,True,0.5762,Medium,Communication Design
1,43,1,9070,1,1,116.0000,1,1,1,3,3,120.9000,False,False,False,True,1,False,24,False,0,6,6,0,0.0000,0,0,6,6,0,0.0000,0,12.7000,3.7000,-1.7000,Enrolled,False,True,0.8918,Medium,Communication Design
4,42,1,9500,1,19,133.1000,1,1,1,5,5,126.0000,True,False,False,True,1,False,29,False,2,7,10,5,11.9000,0,1,8,10,5,11.0000,0,13.9000,-0.3000,0.7900,Dropout,True,True,0.6050,Medium,Nursing
1,1,3,171,1,1,139.0000,1,19,19,5,3,128.2000,True,False,False,True,1,True,19,False,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,10.8000,1.4000,1.7400,Graduate,False,False,0.4083,Medium,Animation and Multimedia Design
1,44,1,9003,1,39,130.0000,1,19,37,9,9,130.0000,True,False,False,True,1,False,23,False,0,6,8,6,12.5714,0,0,6,7,6,12.4286,0,8.9000,1.4000,3.5100,Graduate,False,False,0.0469,Low,Agronomy
1,1,3,9147,1,1,125.0000,1,1,38,7,7,120.1000,False,False,True,True,1,False,19,False,0,5,8,5,11.2000,0,0,5,10,4,10.7500,3,16.2000,0.3000,-0.9200,Dropout,True,False,0.2075,Low,Management
1,39,1,9254,1,1,160.0000,1,19,37,7,10,100.0000,False,False,False,True,1,False,26,False,0,6,7,6,12.0000,0,0,6,8,5,10.8000,0,12.7000,3.7000,-1.7000,Enrolled,False,False,0.2394,Medium,Tourism
1,17,1,9147,1,1,148.0000,1,38,37,5,5,134.0000,False,False,False,True,1,False,18,False,0,5,9,0,0.0000,0,0,5,5,0,0.0000,0,7.6000,2.6000,0.3200,Enrolled,False,True,0.7934,Medium,Management
1,17,1,9500,1,1,150.0000,1,37,19,8,4,130.8000,False,False,False,True,1,False,24,False,0,7,8,7,11.9750,0,0,8,8,8,13.7500,0,13.9000,-0.3000,0.7900,Graduate,False,False,0.0788,Low,Nursing
1,1,1,171,1,1,141.0000,1,19,19,5,10,135.8000,True,False,False,True,1,False,19,False,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,15.5000,2.8000,-4.0600,Dropout,True,False,0.4759,Medium,Animation and Multimedia Design
1,17,4,9254,1,1,118.0000,1,38,37,5,7,111.7000,True,False,False,True,1,False,18,False,0,6,12,3,11.6667,0,0,6,12,1,12.0000,0,12.4000,0.5000,1.7900,Dropout,True,True,0.8533,Medium,Tourism
1,1,2,9773,1,1,142.0000,1,38,38,9,9,132.9000,True,False,False,True,1,False,18,False,0,6,8,6,12.3333,0,0,6,11,3,12.3333,0,10.8000,1.4000,1.7400,Graduate,False,False,0.3598,Medium,Journalism and Communication
1,17,3,9147,1,1,120.0000,1,19,19,4,7,115.5000,True,False,True,True,1,False,18,False,0,5,8,3,10.3333,0,0,5,11,3,10.8571,0,10.8000,1.4000,1.7400,Dropout,True,False,0.4001,Medium,Management
1,18,4,9254,1,1,106.0000,1,19,37,7,7,106.0000,True,False,False,True,1,True,21,False,0,6,8,4,10.5000,0,0,6,11,1,11.0000,0,9.4000,-0.8000,-3.1200,Dropout,True,True,0.7202,Medium,Tourism
1,17,4,9773,1,1,121.0000,1,1,19,9,8,120.3000,True,False,True,True,1,True,19,False,0,6,6,6,13.6667,0,0,6,6,6,13.3333,0,8.9000,1.4000,3.5100,Graduate,False,False,0.0850,Low,Journalism and Communication
1,17,4,9500,1,1,150.0000,1,38,37,9,9,130.8000,False,False,False,True,1,True,22,False,0,7,7,7,14.8429,0,0,8,9,8,15.0556,0,16.2000,0.3000,-0.9200,Graduate,False,False,0.0410,Low,Nursing
2,39,1,8014,0,1,120.0000,1,37,37,9,6,117.0000,False,False,False,True,1,False,33,False,0,6,8,6,12.0000,0,0,6,6,6,11.6667,0,10.8000,1.4000,1.7400,Graduate,False,False,0.0401,Low,Social Service (evening attendance)
1,1,6,9853,1,1,114.0000,1,19,19,9,9,110.2000,True,False,False,True,1,False,20,False,0,6,8,5,12.2000,0,0,6,7,5,12.2000,0,10.8000,1.4000,1.7400,Dropout,True,False,0.1871,Low,Basic Education
1,39,1,9991,0,2,140.0000,1,3,3,2,2,155.7000,True,False,False,True,1,False,35,False,0,1,1,0,0.0000,1,0,5,0,0,0.0000,0,10.8000,1.4000,1.7400,Dropout,True,True,0.9226,High,Management (evening attendance)
1,39,1,9003,1,4,160.0000,1,3,3,4,2,180.4000,False,False,True,True,1,False,24,False,6,12,17,6,12.1667,0,7,12,14,10,13.3000,0,12.4000,0.5000,1.7900,Dropout,True,False,0.4638,Medium,Agronomy
1,17,1,9254,1,1,120.0000,1,19,19,4,4,125.5000,False,False,False,True,1,False,18,False,0,5,6,5,12.0000,0,0,5,8,3,11.3333,0,12.7000,3.7000,-1.7000,Enrolled,False,False,0.3146,Medium,Tourism
2,39,1,8014,0,1,130.0000,1,37,37,9,6,110.0000,True,False,False,True,0,False,33,False,0,6,7,6,11.0000,0,0,6,11,5,11.0000,0,9.4000,-0.8000,-3.1200,Graduate,False,False,0.0919,Low,Social Service (evening attendance)
1,42,1,9500,1,1,160.0000,1,37,38,9,7,161.0000,True,False,False,True,0,True,22,False,0,8,8,7,13.0800,0,0,8,8,7,13.0800,0,10.8000,1.4000,1.7400,Graduate,False,False,0.0155,Low,Nursing
1,39,1,9670,1,1,120.0000,1,1,19,4,5,100.0000,False,False,False,True,0,True,25,False,0,5,7,4,10.5000,0,0,5,7,5,11.6000,0,9.4000,-0.8000,-3.1200,Graduate,False,False,0.0501,Low,Advertising and Marketing Management
1,17,1,9070,1,1,124.0000,1,19,38,4,0,117.6000,True,False,False,True,1,False,20,False,0,6,9,6,10.6667,1,0,6,6,5,11.2000,0,7.6000,2.6000,0.3200,Graduate,False,False,0.0531,Low,Communication Design
1,1,6,9147,1,1,143.0000,1,38,37,9,9,128.7000,True,False,False,True,1,False,23,False,0,5,6,4,14.0000,0,0,5,5,5,13.8000,0,11.1000,0.6000,2.0200,Enrolled,False,False,0.1930,Low,Management
1,43,2,9119,1,1,115.0000,1,38,19,9,6,112.2000,True,False,True,True,1,False,18,False,0,5,9,2,10.0000,0,0,5,9,0,0.0000,0,15.5000,2.8000,-4.0600,Enrolled,False,True,0.8952,Medium,Informatics Engineering
1,39,1,9500,1,1,133.1000,1,1,1,4,10,100.8000,False,False,False,True,1,False,24,False,0,7,18,0,0.0000,0,0,7,7,0,0.0000,0,13.9000,-0.3000,0.7900,Dropout,True,True,0.9649,High,Nursing
1,17,2,9773,1,1,133.1000,41,19,1,9,9,105.0000,True,False,False,False,0,False,21,True,0,6,6,6,14.0000,0,0,6,6,6,13.5000,0,8.9000,1.4000,3.5100,Graduate,False,False,0.0795,Low,Journalism and Communication
1,15,1,9130,1,1,133.1000,41,1,1,4,4,100.0000,False,False,False,True,0,False,26,True,0,6,7,2,12.0000,1,0,6,6,0,0.0000,0,8.9000,1.4000,3.5100,Dropout,True,True,0.9343,High,Equinculture:
2,39,1,9853,1,10,133.1000,1,37,34,0,0,115.5000,False,False,False,True,0,False,39,False,0,6,12,3,12.6667,0,0,6,14,0,0.0000,1,7.6000,2.6000,0.3200,Dropout,True,True,0.9867,High,Basic Education
2,39,1,8014,0,1,133.1000,1,37,19,9,9,114.0000,False,False,False,True,0,False,44,False,2,8,11,8,11.8750,0,0,6,7,6,12.3333,0,12.7000,3.7000,-1.7000,Graduate,False,False,0.0368,Low,Social Service (evening attendance)
1,15,1,9119,1,1,130.0000,26,38,3,9,2,137.0000,True,False,False,True,1,False,19,True,0,5,9,5,14.0000,0,0,5,11,3,13.2500,0,13.9000,-0.3000,0.7900,Enrolled,False,False,0.1337,Low,Informatics Engineering
1,1,5,9773,1,1,135.0000,1,37,1,5,5,124.9000,True,False,False,True,0,False,18,False,0,6,6,6,13.6667,0,0,6,6,6,13.3333,0,8.9000,1.4000,3.5100,Graduate,False,False,0.0503,Low,Journalism and Communication
1,1,5,9500,1,1,132.0000,1,37,37,7,7,120.3000,True,False,False,True,0,True,18,False,0,7,7,7,13.7500,0,0,8,9,8,14.4778,0,12.4000,0.5000,1.7900,Graduate,False,False,0.0341,Low,Nursing
1,1,1,9085,1,1,135.0000,1,1,2,9,1,134.3000,True,False,False,True,0,False,19,False,0,5,7,5,14.2000,2,0,5,7,5,13.8000,0,12.7000,3.7000,-1.7000,Enrolled,False,False,0.0420,Low,Veterinary Nursing
1,1,4,9500,1,1,115.0000,1,3,3,2,2,111.5000,True,False,True,False,0,False,19,False,0,7,10,4,11.9600,0,0,7,7,0,0.0000,0,13.9000,-0.3000,0.7900,Dropout,True,True,0.9921,High,Nursing
1,53,1,9085,1,42,130.0000,1,38,38,9,9,128.8000,False,False,False,True,0,False,21,False,7,10,12,8,12.8750,0,4,9,14,5,13.4000,0,8.9000,1.4000,3.5100,Dropout,True,False,0.4498,Medium,Veterinary Nursing
1,1,4,171,1,1,133.1000,1,1,1,9,10,110.0000,True,False,False,True,0,False,20,False,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,16.2000,0.3000,-0.9200,Graduate,False,True,0.5181,Medium,Animation and Multimedia Design
2,39,1,8014,0,1,130.0000,1,37,37,6,5,113.5000,True,False,False,True,0,False,36,False,0,6,0,0,0.0000,0,0,6,0,0,0.0000,0,9.4000,-0.8000,-3.1200,Dropout,True,True,0.9692,High,Social Service (evening attendance)
4,39,1,9003,1,12,133.1000,1,37,37,9,6,160.0000,False,False,False,True,0,False,43,False,13,18,19,18,14.6316,0,10,13,14,13,14.2308,1,15.5000,2.8000,-4.0600,Graduate,False,False,0.0239,Low,Agronomy
1,18,1,9853,1,1,123.0000,1,19,19,9,7,117.4000,True,False,False,True,0,False,19,False,0,6,0,0,0.0000,0,0,6,0,0,0.0000,0,11.1000,0.6000,2.0200,Dropout,True,True,0.9906,High,Basic Education
1,51,1,9070,1,1,130.0000,1,3,1,2,8,122.2000,False,False,True,True,0,False,20,False,4,10,12,10,13.0000,0,5,11,11,11,12.2727,0,11.1000,0.6000,2.0200,Graduate,False,False,0.0380,Low,Communication Design
1,1,2,9238,1,1,122.0000,1,37,38,4,7,118.2000,True,False,False,True,0,False,19,False,0,6,0,0,0.0000,0,0,6,0,0,0.0000,0,16.2000,0.3000,-0.9200,Dropout,True,True,0.9738,High,Social Service
1,1,1,9085,1,1,113.0000,1,1,1,4,4,106.7000,True,False,False,True,0,False,20,False,0,6,15,4,14.2000,0,0,6,17,4,13.2500,0,15.5000,2.8000,-4.0600,Dropout,True,False,0.2060,Low,Veterinary Nursing
1,1,5,9500,1,1,111.0000,1,3,4,4,3,108.2000,True,False,False,True,0,False,20,False,2,7,9,6,13.2667,0,0,7,10,5,12.3000,0,12.4000,0.5000,1.7900,Dropout,True,False,0.1654,Low,Nursing
1,17,2,9853,1,1,133.1000,1,19,1,9,3,107.0000,True,False,False,True,0,False,20,False,0,7,12,6,11.6667,0,0,7,10,3,13.0000,0,16.2000,0.3000,-0.9200,Enrolled,False,False,0.4583,Medium,Basic Education
